Name,Type,Owner,Region,Location,Supply,Fuel,Port,Port_SPS,P Exp,Airbase,Airbase_SPS,A Exp,Forts,F Exp,Eng,Nav,Air S (P),AV,Garrison,Troop Cap,HQ,Japan VP,Allied VP,ID,Troop Cap Max
Dadjangas,Base,1,Philippines,"78,93",0,0,2,2,,0,5,,,,,,,,0,,,4 (2),4 (2),641,unlim
Davao,Base,1,Philippines,"79,91",0,0,3,3,,2,5,,,,,,,,20,,,14 (2),14 (2),642,unlim
Dumanquilas,Base,1,Philippines,"77,89",0,0,2,3,,0,5,,,,,,,,0,,,4 (2),4 (2),643,unlim
Babuyan,Base,1,Philippines,"84,71",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (2),646,30K
Bacolod,Base,1,Philippines,"79,85",0,0,2,1,,0,4,,,,,,,,20,,,4 (2),4 (2),647,unlim
Balabac,Base,1,Philippines,"70,84",0,0,1,0,,0,4,,,,,,,,0,,,2 (2),2 (2),648,unlim
Basilan,Base,1,Philippines,"75,90",0,0,1,1,,0,5,,,,,,,,0,,,2 (2),2 (2),649,unlim
Batan Island,Base,1,Philippines,"85,70",0,0,1,1,,2,2,,,,,,,,0,,,10 (2),10 (2),650,30K
Boac,Base,1,Philippines,"80,80",0,0,1,2,,0,6,,,,,,,,0,,,2 (2),2 (2),651,unlim
Burias,Base,1,Philippines,"80,81",0,0,1,0,,0,4,,,,,,,,0,,,2 (2),2 (2),652,unlim
Busuanga,Base,1,Philippines,"77,80",0,0,3,2,,0,5,,,,,,,,0,,,6 (2),6 (2),653,unlim
Calapan,Base,1,Philippines,"78,79",0,0,1,1,,0,5,,,,,,,,0,,,2 (2),2 (2),654,unlim
Calayan,Base,1,Philippines,"83,71",0,0,1,0,,0,4,,,,,,,,0,,,2 (2),2 (2),655,unlim
Camiguin,Base,1,Philippines,"84,72",0,0,1,0,,0,4,,,,,,,,0,,,2 (2),2 (2),656,unlim
Catanduanes,Base,1,Philippines,"82,81",0,0,1,1,,0,5,,,,,,,,0,,,2 (2),2 (2),657,unlim
Catbalogan,Base,1,Philippines,"82,84",0,0,2,0,,0,6,,,,,,,,0,,,4 (2),4 (2),658,unlim
Cebu,Base,1,Philippines,"80,86",0,0,2,1,,1,6,,,,,,,,40,,,8 (2),8 (2),659,unlim
Culion,Base,1,Philippines,"76,80",0,0,1,0,,0,5,,,,,,,,0,,,2 (2),2 (2),660,unlim
Dinagat,Base,1,Philippines,"81,87",0,0,1,0,,0,5,,,,,,,,0,,,2 (2),2 (2),661,unlim
Dumaguete,Base,1,Philippines,"78,86",0,0,0,1,,0,4,,,,,,,,0,,,0 (2),0 (2),662,unlim
Guiuan,Base,1,Philippines,"82,85",0,0,1,1,,0,5,,,,,,,,0,,,2 (2),2 (2),663,unlim
Iloilo,Base,1,Philippines,"79,84",0,0,2,1,,2,7,,,,,,,,20,,,12 (2),12 (2),664,unlim
Itbayat Island,Base,1,Philippines,"84,69",0,0,1,0,,0,3,,,,,,,,0,,,2 (2),2 (2),665,60K
Jolo,Base,1,Philippines,"74,90",0,0,2,1,,3,5,,,,,,,,0,,,16 (2),16 (2),666,unlim
Lubang,Base,1,Philippines,"78,78",0,0,1,0,,0,4,,,,,,,,0,,,2 (2),2 (2),667,unlim
Masbate,Base,1,Philippines,"80,83",0,0,1,0,,0,6,,,,,,,,0,,,2 (2),2 (2),668,unlim
Baybay,Base,1,Philippines,"81,86",0,0,2,1,,0,6,,,,,,,,20,,,4 (2),4 (2),669,unlim
Oroquieta,Base,1,Philippines,"78,88",0,0,1,0,,1,4,,,,,,,,0,,,6 (2),6 (2),670,unlim
Polillo,Base,1,Philippines,"81,78",0,0,1,1,,0,5,,,,,,,,0,,,2 (2),2 (2),671,unlim
Puerto Princesa,Base,1,Philippines,"73,83",0,0,2,2,,0,4,,,,,,,,0,,,4 (2),4 (2),672,unlim
Roxas,Base,1,Philippines,"79,83",0,0,1,1,,1,7,,,,,,,,0,,,6 (2),6 (2),673,unlim
San Jose,Base,1,Philippines,"78,84",0,0,1,1,,1,7,,,,,,,,0,,,6 (2),6 (2),674,unlim
Siargao,Base,1,Philippines,"82,88",0,0,1,0,,0,5,,,,,,,,0,,,2 (2),2 (2),675,unlim
Sibuyan,Base,1,Philippines,"80,82",0,0,1,0,,0,5,,,,,,,,0,,,2 (2),2 (2),676,unlim
Siquijor,Base,1,Philippines,"78,87",0,0,2,1,,1,4,,,,,,,,0,,,8 (2),8 (2),677,unlim
Tablas,Base,1,Philippines,"79,81",0,0,2,2,,0,5,,,,,,,,0,,,4 (2),4 (2),678,unlim
Tacloban,Base,1,Philippines,"81,85",0,0,1,2,,0,6,,,,,,,,0,,,2 (2),2 (2),679,unlim
Tagbilaran,Base,1,Philippines,"79,87",0,0,1,0,,0,6,,,,,,,,0,,,2 (2),2 (2),680,unlim
Tapul,Base,1,Philippines,"73,90",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (2),681,60K
Tawi Tawi,Base,1,Philippines,"72,90",0,0,1,1,,0,5,,,,,,,,0,,,2 (2),2 (2),682,unlim
Taytay,Base,1,Philippines,"75,82",0,0,1,2,,1,5,,,,,,,,0,,,6 (2),6 (2),683,unlim
Zamboanga,Base,1,Philippines,"75,89",0,0,2,2,,1,4,,,,,,,,40,,,8 (2),8 (2),684,unlim
Colombo,Base,1,Ceylon,"29,48",0,0,9,6,,4,7,,,,,,,,80,,,425 (25),34 (2),688,unlim
Kandy,Airfield,1,Ceylon,"30,48",0,0,0,0,,1,7,,,,,,,,0,,,4 (2),4 (2),689,unlim
Jaffna,Base,1,Ceylon,"31,45",0,0,3,2,,1,7,,,,,,,,0,,,10 (2),10 (2),690,unlim
Koggala,Base,1,Ceylon,"29,50",0,0,1,0,,1,7,,,,,,,,0,,,6 (2),6 (2),691,unlim
Trincomalee,Base,1,Ceylon,"31,47",0,0,6,6,,3,7,,,,,,,,0,,,300 (25),24 (2),692,unlim
Akyab,Base,1,Burma,"54,45",0,0,0,1,,3,6,,,,,,,,0,,,12 (2),12 (2),695,unlim
Bassein,Airfield,1,Burma,"54,52",0,0,0,0,,1,6,,,,,,,,0,,,4 (2),4 (2),696,unlim
Bhamo,Beach,1,Burma,"63,44",0,0,0,0,,0,4,,,,,,,,0,,,0 (2),0 (2),697,unlim
Katha,Beach,1,Burma,"61,43",0,0,0,0,,0,6,,,,,,,,0,,,0 (2),0 (2),698,unlim
Lashio,Airfield,1,Burma,"62,46",0,0,0,0,,2,4,,,,,,,,0,,,8 (2),8 (2),699,unlim
Magwe,Airfield,1,Burma,"57,47",0,0,0,0,,3,7,,,,,,,,0,,,12 (2),12 (2),700,unlim
Mandalay,Airfield,1,Burma,"59,46",0,0,0,0,,2,7,,,,,,,,20,,,8 (2),40 (10),701,unlim
Meiktila,Airfield,1,Burma,"58,47",0,0,0,0,,1,7,,,,,,,,0,,,4 (2),4 (2),702,unlim
Moulmein,Base,1,Burma,"55,55",0,0,1,1,,4,7,,,,,,,,20,,,18 (2),18 (2),703,unlim
Myitkyina,Airfield,1,Burma,"64,42",0,0,0,0,,2,4,,,,,,,,0,,,8 (2),8 (2),704,unlim
Prome,Airfield,1,Burma,"55,50",0,0,0,0,,1,7,,,,,,,,0,,,4 (2),4 (2),705,unlim
Rangoon,Base,1,Burma,"54,53",0,0,4,6,,4,7,,,,,,,,120,,,240 (20),1200 (100),706,unlim
Taung Gyi,Airfield,1,Burma,"59,48",0,0,0,0,,1,5,,,,,,,,0,,,4 (2),4 (2),707,unlim
Tavoy,Base,1,Burma,"54,60",0,0,2,1,,4,5,,,,,,,,0,,,20 (2),20 (2),708,unlim
Toungoo,Airfield,1,Burma,"57,50",0,0,0,0,,1,7,,,,,,,,0,,,4 (2),4 (2),709,unlim
Victoria Point,Base,1,Burma,"51,66",0,0,1,1,,4,6,,,,,,,,0,,,18 (2),18 (2),710,unlim
Warazup,Beach,1,Burma,"63,41",0,0,0,0,,0,6,,,,,,,,0,,,0 (2),0 (2),711,unlim
Alor Star,Base,1,Malaya,"49,73",0,0,1,1,,4,6,,,,,,,,0,,,18 (2),18 (2),714,unlim
Georgetown,Base,1,Malaya,"49,74",0,0,4,3,,4,7,,,,,,,,20,,,24 (2),24 (2),715,unlim
Johore Bahru,Base,1,Malaya,"50,83",0,0,2,2,,4,7,,,,,,,,0,,,20 (2),20 (2),716,unlim
Kota Bharu,Base,1,Malaya,"51,75",0,0,1,1,,4,6,,,,,,,,0,,,18 (2),18 (2),717,unlim
Kuala Lumpur,Airfield,1,Malaya,"49,79",0,0,0,0,,2,7,,,,,,,,20,,,8 (2),8 (2),718,unlim
Kuantan,Base,1,Malaya,"51,79",0,0,1,1,,4,6,,,,,,,,0,,,18 (2),18 (2),719,unlim
Malacca,Base,1,Malaya,"49,81",0,0,2,2,,1,7,,,,,,,,0,,,8 (2),8 (2),720,unlim
Mersing,Base,1,Malaya,"51,82",0,0,1,1,,0,7,,,,,,,,0,,,2 (2),2 (2),721,unlim
Singapore,Base,1,Malaya,"50,84",0,0,9,8,,6,7,,,,,,,,60,,,420 (20),1890 (90),722,unlim
Taiping,Base,1,Malaya,"49,75",0,0,0,0,,3,7,,,,,,,,0,,,12 (2),12 (2),723,unlim
Banggi,Base,1,Malaya,"69,85",0,0,0,0,,0,4,,,,,,,,0,,,0 (2),0 (2),726,unlim
Brunei,Base,1,Malaya,"65,87",0,0,3,3,,0,5,,,,,,,,0,,,6 (2),6 (2),727,unlim
Jesselton,Base,1,Malaya,"68,86",0,0,2,2,,1,6,,,,,,,,0,,,8 (2),8 (2),728,unlim
Kuching,Base,1,Malaya,"58,88",0,0,2,1,,2,5,,,,,,,,0,,,12 (2),12 (2),729,unlim
Kudat,Base,1,Malaya,"69,86",0,0,1,1,,0,6,,,,,,,,0,,,2 (2),2 (2),730,unlim
Miri,Base,1,Malaya,"64,87",0,0,2,0,,2,5,,,,,,,,0,,,12 (2),12 (2),731,unlim
Sandakan,Base,1,Malaya,"70,88",0,0,1,1,,0,2,,,,,,,,0,,,2 (2),2 (2),732,unlim
Tawau,Base,1,Malaya,"69,90",0,0,1,1,,0,3,,,,,,,,0,,,2 (2),2 (2),733,unlim
Addu,Base,1,Japan,"16,52",0,0,1,2,,1,0,,,,,,,,0,,,6 (2),3 (1),736,6K
North Male,Base,1,Japan,"20,45",0,0,0,0,,1,0,,,,,,,,0,,,4 (2),2 (1),737,6K
Auki,Base,1,Solomon Islands,"115,136",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (2),740,unlim
Choiseul Bay,Base,1,Solomon Islands,"111,132",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (2),741,unlim
Kirakira,Base,1,Solomon Islands,"116,140",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (2),742,unlim
Lunga,Base,1,Solomon Islands,"114,138",0,0,0,1,,0,5,,,,,,,,0,,,0 (2),0 (2),743,unlim
Munda,Base,1,Solomon Islands,"111,134",0,0,0,2,,0,3,,,,,,,,0,,,0 (2),0 (2),744,unlim
Panggoe,Base,1,Solomon Islands,"111,133",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (2),745,unlim
Rekata Bay,Base,1,Solomon Islands,"113,134",0,0,0,1,,0,3,,,,,,,,0,,,0 (2),0 (2),746,unlim
Rennell Island,Base,1,Solomon Islands,"113,140",0,0,0,0,,0,5,,,,,,,,0,,,0 (2),0 (2),747,unlim
Russell Islands,Base,1,Solomon Islands,"113,136",0,0,0,1,,0,4,,,,,,,,0,,,0 (2),0 (2),748,unlim
Shortlands,Base,1,Solomon Islands,"110,132",0,0,1,3,,0,3,,,,,,,,0,,,2 (2),2 (2),749,60K
Stewart Island,Beach,1,Solomon Islands,"116,139",0,0,0,0,,0,0,,,,,,,,0,,,0 (2),0 (2),750,6K
Tassafaronga,Base,1,Solomon Islands,"113,137",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (2),751,unlim
Thousand Ships Bay,Base,1,Solomon Islands,"114,136",0,0,0,1,,0,3,,,,,,,,0,,,0 (2),0 (2),752,unlim
Tulagi,Base,1,Solomon Islands,"114,137",0,0,1,3,,0,2,,,,,,,,0,,,2 (2),2 (2),753,unlim
Vella Lavella,Base,1,Solomon Islands,"110,133",0,0,0,1,,0,3,,,,,,,,0,,,0 (2),0 (2),754,unlim
Gau Island,Base,1,Fiji,"133,161",0,0,1,0,,0,4,,,,,,,,0,,,2 (2),1 (1),757,unlim
Kabara,Base,1,Fiji,"136,162",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (1),758,60K
Kandavu Island,Base,1,Fiji,"132,162",0,0,1,0,,0,4,,,,,,,,0,,,2 (2),1 (1),759,unlim
Koro Island,Base,1,Fiji,"134,160",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (1),760,60K
Lakeba,Base,1,Fiji,"135,161",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (1),761,60K
Moala,Base,1,Fiji,"134,162",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (1),762,60K
Nadi,Base,1,Fiji,"131,160",0,0,1,1,,1,7,,,,,,,,0,,,75 (25),3 (1),763,unlim
Savusavu,Base,1,Fiji,"134,159",0,0,0,1,,0,5,,,,,,,,0,,,0 (2),0 (1),764,unlim
Suva,Base,1,Fiji,"132,160",0,0,3,2,,2,7,,,,,,,,0,,,525 (75),7 (1),765,unlim
Taveuni Island,Base,1,Fiji,"135,159",0,0,1,0,,0,2,,,,,,,,0,,,2 (2),1 (1),766,unlim
Vanua Balavu,Base,1,Fiji,"136,160",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (1),767,60K
Yasawa Islands,Base,1,Fiji,"131,158",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (1),768,60K
Abemama,Base,1,Gilbert Islands,"136,130",0,0,0,1,,0,2,,,,,,,,0,,,0 (2),0 (2),771,30K
Arorae,Base,1,Gilbert Islands,"138,137",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (2),772,30K
Beru,Base,1,Gilbert Islands,"138,134",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (2),773,30K
Kuria,Base,1,Gilbert Islands,"135,131",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (2),774,30K
Maiana,Base,1,Gilbert Islands,"135,129",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (2),775,30K
Makin,Base,1,Gilbert Islands,"136,125",0,0,0,1,,0,2,,,,,,,,0,,,0 (2),0 (2),776,30K
Nikunau,Base,1,Gilbert Islands,"139,134",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (2),777,30K
Nonouti,Base,1,Gilbert Islands,"136,133",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (2),778,30K
Onotoa,Base,1,Gilbert Islands,"137,135",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (2),779,30K
Tabiteuea,Base,1,Gilbert Islands,"137,134",0,0,0,1,,0,3,,,,,,,,0,,,0 (2),0 (2),780,60K
Tarawa,Base,1,Gilbert Islands,"136,128",0,0,1,1,,0,2,,,,,,,,0,,,25 (25),2 (2),781,30K
Caroline Island,Beach,1,Japan,"178,164",0,0,0,0,,0,0,,,,,,,,0,,,0 (2),0 (1),784,6K
Christmas Island,Base,1,Japan,"174,141",0,0,2,1,,1,5,,,,,,,,0,,,40 (10),4 (1),785,unlim
Fanning Island,Base,1,Japan,"172,137",0,0,0,0,,0,3,,,,,,,,0,,,0 (10),0 (1),786,60K
Flint Island,Beach,1,Japan,"175,166",0,0,0,0,,0,0,,,,,,,,0,,,0 (2),0 (1),787,6K
Malden Island,Base,1,Japan,"175,152",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (1),788,60K
Starbuck Island,Base,1,Japan,"173,154",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (1),789,30K
Washington Island,Beach,1,Japan,"171,135",0,0,0,0,,0,0,,,,,,,,0,,,0 (10),0 (1),790,6K
Ndeni,Base,1,Santa Cruz Islands,"120,143",0,0,0,1,,0,5,,,,,,,,0,,,0 (2),0 (1),793,unlim
Reef Islands,Base,1,Santa Cruz Islands,"121,142",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (1),794,30K
Utupua,Base,1,Santa Cruz Islands,"121,144",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (1),795,60K
Vanikoro,Base,1,Santa Cruz Islands,"121,145",0,0,0,0,,0,4,,,,,,,,0,,,0 (2),0 (1),796,unlim
Eua,Base,1,Japan,"138,169",0,0,1,0,,0,3,,,,,,,,0,,,2 (2),1 (1),799,60K
Late Island,Base,1,Japan,"140,165",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (1),800,30K
Lifuka,Base,1,Japan,"140,167",0,0,0,1,,0,2,,,,,,,,0,,,0 (2),0 (1),801,30K
Niuafo'ou,Base,1,Japan,"141,160",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (1),802,60K
Niuatoputapu,Base,1,Japan,"143,161",0,0,0,0,,0,2,,,,,,,,0,,,0 (2),0 (1),803,30K
Tofua,Base,1,Japan,"139,167",0,0,0,0,,0,3,,,,,,,,0,,,0 (2),0 (1),804,60K
Tongatapu,Base,1,Japan,"138,168",0,0,1,2,,0,4,,,,,,,,0,,,10 (10),1 (1),805,unlim
Vava'u,Base,1,Japan,"141,165",0,0,1,3,,0,4,,,,,,,,0,,,2 (2),1 (1),806,unlim
Diego Garcia,Base,1,Japan,"11,62",0,0,1,2,,0,3,,,,,,,,0,,,2 (2),10 (10),809,60K
Hong Kong,Base,1,Japan,"77,61",0,0,8,8,,4,7,,,,,,,,0,,,160 (10),640 (40),810,unlim
Nauru Island,Base,1,Japan,"127,128",0,0,2,0,,0,2,,,,,,,,0,,,4 (2),2 (1),811,30K
Ocean Island,Base,1,Japan,"130,130",0,0,2,0,,0,0,,,,,,,,0,,,4 (2),2 (1),812,6K
Aden,Base,1,Off-map,"20,3",0,0,7,7,,3,6,,,,,,,,0,,,13 (1),13 (1),815,unlim
Cape Town,Base,1,Off-map,"2,67",0,0,7,6,,6,7,,,,,,,,0,,,19 (1),19 (1),816,unlim
Mombasa,Base,1,Off-map,"2,57",0,0,3,2,,4,6,,,,,,,,0,,,11 (1),11 (1),817,unlim
Port Stanley,Base,1,Off-map,"229,190",0,0,3,2,,0,5,,,,,,,,0,,,3 (1),3 (1),818,unlim
United Kingdom,Base,1,Off-map,"228,3",0,0,10,10,,10,7,,,,,,,,0,,,30 (1),30 (1),819,unlim
Agra,Airfield,1,India,"50,19",0,0,0,0,,1,7,,,,,,,,30,,,10 (5),2 (1),822,unlim
Ajmer,Airfield,1,India,"48,16",0,0,0,0,,1,6,,,,,,,,0,,,10 (5),2 (1),823,unlim
Ahmedabad,Airfield,1,India,"41,18",0,0,0,0,,1,7,,,,,,,,60,,,10 (5),2 (1),824,unlim
Aligarh,Airfield,1,India,"51,19",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),825,unlim
Allahabad,Airfield,1,India,"51,26",0,0,0,0,,1,7,,,,,,,,30,,,10 (5),2 (1),826,unlim
Ambala,Airfield,1,India,"54,15",0,0,0,0,,1,6,,,,,,,,0,,,10 (5),2 (1),827,unlim
Amritsar,Airfield,1,India,"55,11",0,0,0,0,,2,7,,,,,,,,30,,,20 (5),4 (1),828,unlim
Asansol,Airfield,1,India,"53,34",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),829,unlim
Bangalore,Airfield,1,India,"32,37",0,0,0,0,,1,5,,,,,,,,30,,,10 (5),2 (1),830,unlim
Bareilly,Airfield,1,India,"53,19",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),831,unlim
Benares,Airfield,1,India,"51,27",0,0,0,0,,1,7,,,,,,,,30,,,10 (5),2 (1),832,unlim
Jessore,Airfield,1,India,"53,37",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),833,unlim
Bhaunagar,Base,1,India,"39,19",0,0,2,2,,1,7,,,,,,,,0,,,20 (5),4 (1),834,unlim
Bhopal,Airfield,1,India,"45,24",0,0,0,0,,1,5,,,,,,,,0,,,10 (5),2 (1),835,unlim
Bikaner,Airfield,1,India,"49,13",0,0,0,0,,1,3,,,,,,,,0,,,10 (5),2 (1),836,unlim
Bombay,Base,1,India,"36,24",0,0,6,6,,4,7,,,,,,,,240,,,350 (25),14 (1),837,unlim
Calcutta,Base,1,India,"52,37",0,0,5,3,,4,7,,,,,,,,360,,,650 (50),13 (1),838,unlim
Calicut,Base,1,India,"29,38",0,0,3,2,,2,7,,,,,,,,0,,,35 (5),7 (1),839,unlim
Cawnpore,Airfield,1,India,"51,23",0,0,0,0,,1,7,,,,,,,,60,,,10 (5),2 (1),840,unlim
Chittagong,Base,1,India,"55,41",0,0,4,5,,1,7,,,,,,,,30,,,30 (5),6 (1),841,unlim
Cocanada,Base,1,India,"41,37",0,0,1,2,,0,7,,,,,,,,0,,,5 (5),1 (1),842,unlim
Cochin,Base,1,India,"28,40",0,0,4,6,,1,6,,,,,,,,0,,,30 (5),6 (1),843,unlim
Cox's Bazar,Base,1,India,"54,43",0,0,1,0,,0,6,,,,,,,,0,,,2 (2),1 (1),844,unlim
Coimbatore,Airfield,1,India,"29,39",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),845,unlim
Cuttack,Airfield,1,India,"48,37",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),846,unlim
Dacca,Airfield,1,India,"56,38",0,0,0,0,,4,6,,,,,,,,30,,,200 (25),8 (1),847,unlim
Delhi,Airfield,1,India,"52,17",0,0,0,0,,4,7,,,,,,,,120,,,400 (50),8 (1),848,unlim
Diamond Harbour,Base,1,India,"52,38",0,0,1,2,,1,6,,,,,,,,0,,,15 (5),3 (1),849,unlim
Dimapur,Airfield,1,India,"62,38",0,0,0,0,,2,7,,,,,,,,0,,,20 (5),4 (1),850,unlim
Ranchi,Airfield,1,India,"51,32",0,0,0,0,,2,7,,,,,,,,0,,,20 (5),4 (1),851,unlim
Goa,Base,1,India,"32,29",0,0,4,4,,1,6,,,,,,,,0,,,30 (5),6 (1),852,unlim
Gorakhpur,Airfield,1,India,"54,26",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),853,unlim
Gwalior,Airfield,1,India,"49,21",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),854,unlim
Howrah,Airfield,1,India,"52,36",0,0,0,0,,2,7,,,,,,,,30,,,20 (5),4 (1),855,unlim
Hyderabad,Airfield,1,India,"39,32",0,0,0,0,,3,7,,,,,,,,90,,,30 (5),6 (1),856,unlim
Hyderabad (Sindh),Airfield,1,India,"42,10",0,0,0,0,,4,7,,,,,,,,0,,,40 (5),8 (1),857,unlim
Imphal,Airfield,1,India,"60,40",0,0,0,0,,3,5,,,,,,,,0,,,30 (5),6 (1),858,unlim
Indore,Airfield,1,India,"43,22",0,0,0,0,,1,6,,,,,,,,0,,,10 (5),2 (1),859,unlim
Jaipur,Airfield,1,India,"48,17",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),860,unlim
Jamshedpur,Airfield,1,India,"51,34",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),861,unlim
Jodphur,Airfield,1,India,"45,14",0,0,0,0,,1,6,,,,,,,,0,,,10 (5),2 (1),862,unlim
Jorhat,Airfield,1,India,"63,38",0,0,0,0,,2,6,,,,,,,,0,,,20 (5),4 (1),863,unlim
Jubbulpore,Airfield,1,India,"46,27",0,0,0,0,,1,5,,,,,,,,0,,,10 (5),2 (1),864,unlim
Karachi,Base,1,India,"40,8",0,0,5,6,,3,7,,,,,,,,60,,,275 (25),11 (1),865,unlim
Kohima,Airfield,1,India,"61,39",0,0,0,0,,1,5,,,,,,,,0,,,10 (5),2 (1),866,unlim
Lahore,Airfield,1,India,"55,10",0,0,0,0,,1,7,,,,,,,,90,,,10 (5),2 (1),867,unlim
Ledo,Airfield,1,India,"65,38",0,0,0,0,,3,6,,,,,,,,0,,,30 (5),6 (1),868,unlim
Lucknow,Airfield,1,India,"52,23",0,0,0,0,,3,7,,,,,,,,30,,,30 (5),6 (1),869,unlim
Ludhiana,Beach,1,India,"55,12",0,0,0,0,,0,7,,,,,,,,0,,,0 (5),0 (1),870,unlim
Madras,Base,1,India,"35,40",0,0,5,6,,4,7,,,,,,,,90,,,325 (25),13 (1),871,unlim
Madurai,Airfield,1,India,"30,42",0,0,0,0,,1,7,,,,,,,,30,,,10 (5),2 (1),872,unlim
Mangalore,Base,1,India,"30,34",0,0,3,2,,1,7,,,,,,,,0,,,25 (5),5 (1),873,unlim
Meerut,Airfield,1,India,"53,18",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),874,unlim
Moradabad,Airfield,1,India,"54,18",0,0,0,0,,1,7,,,,,,,,30,,,10 (5),2 (1),875,unlim
Multan,Airfield,1,India,"50,9",0,0,0,0,,1,6,,,,,,,,0,,,10 (5),2 (1),876,unlim
Mysore,Airfield,1,India,"31,37",0,0,0,0,,2,5,,,,,,,,0,,,20 (5),4 (1),877,unlim
Nagpur,Airfield,1,India,"44,28",0,0,0,0,,1,7,,,,,,,,30,,,10 (5),2 (1),878,unlim
Patna,Airfield,1,India,"54,30",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),879,unlim
Poona,Airfield,1,India,"36,26",0,0,0,0,,1,6,,,,,,,,30,,,10 (5),2 (1),880,unlim
Raipur,Airfield,1,India,"45,31",0,0,0,0,,1,6,,,,,,,,0,,,10 (5),2 (1),881,unlim
Rangpur,Beach,1,India,"58,34",0,0,0,0,,0,6,,,,,,,,0,,,0 (5),0 (1),882,unlim
Rawalpindi,Airfield,1,India,"58,6",0,0,0,0,,1,6,,,,,,,,0,,,10 (5),2 (1),883,unlim
Salem,Airfield,1,India,"32,39",0,0,0,0,,1,4,,,,,,,,0,,,10 (5),2 (1),884,unlim
Sholapur,Beach,1,India,"36,29",0,0,0,0,,0,7,,,,,,,,30,,,0 (5),0 (1),885,unlim
Sialkot,Airfield,1,India,"56,9",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),886,unlim
Srinagar,Airfield,1,India,"60,8",0,0,0,0,,1,2,,,,,,,,30,,,10 (5),2 (1),887,unlim
Surat,Base,1,India,"39,20",0,0,3,2,,2,6,,,,,,,,0,,,35 (5),7 (1),888,unlim
Tanjore,Airfield,1,India,"32,42",0,0,0,0,,1,7,,,,,,,,0,,,10 (5),2 (1),889,unlim
Trichinopoly,Airfield,1,India,"31,41",0,0,0,0,,1,6,,,,,,,,0,,,10 (5),2 (1),890,unlim
Trivandrum,Base,1,India,"27,43",0,0,1,1,,1,6,,,,,,,,0,,,15 (5),3 (1),891,unlim
Vizagapatnam,Base,1,India,"42,37",0,0,1,2,,1,7,,,,,,,,0,,,15 (5),3 (1),892,unlim
Katmandu,Beach,1,India,"57,28",0,0,0,0,,0,2,,,,,,,,0,,,0 (5),0 (1),895,unlim
Little Andaman,Base,1,India,"44,59",0,0,0,0,,0,5,,,,,,,,0,,,0 (2),0 (1),898,unlim
Great Nicobar,Base,1,India,"43,66",0,0,0,0,,0,5,,,,,,,,0,,,0 (2),0 (1),899,unlim
Port Blair,Base,1,India,"46,58",0,0,2,1,,1,5,,,,,,,,0,,,8 (2),4 (1),900,unlim
Trinkat,Base,1,India,"44,64",0,0,0,0,,0,4,,,,,,,,0,,,0 (2),0 (1),901,unlim
Adelaide,Base,1,Australia,"75,163",0,0,5,4,,4,7,,,,,,,,120,,,650 (50),13 (1),905,unlim
Albany,Base,1,Australia,"51,153",0,0,3,5,,1,7,,,,,,,,0,,,50 (10),5 (1),906,unlim
